"gene","module","MM","GS","absMM","absGS"
"SCIN","blue",0.878246578493944,-0.717573815794812,0.878246578493944,0.717573815794812
"SLC25A34","blue",0.877715704614746,-0.745215990950371,0.877715704614746,0.745215990950371
"ZZEF1","blue",0.877465415513912,-0.76008690478407,0.877465415513912,0.76008690478407
"LRRC26","blue",0.877302944879048,-0.648328646542825,0.877302944879048,0.648328646542825
"SMPDL3A","blue",0.877163646806723,-0.702709020718666,0.877163646806723,0.702709020718666
"TMEM59","blue",0.877077359172156,-0.644956975642184,0.877077359172156,0.644956975642184
"SH3BGRL2","blue",0.877036025410979,-0.51174825031258,0.877036025410979,0.51174825031258
"CA12","blue",0.87698258613227,-0.697358577261826,0.87698258613227,0.697358577261826
"CES3","blue",0.876596378436148,-0.639137640576483,0.876596378436148,0.639137640576483
"BEST4","blue",0.876374286715894,-0.822747421109214,0.876374286715894,0.822747421109214
"MIER3","blue",0.876022200924918,-0.649217861173612,0.876022200924918,0.649217861173612
"C1orf210","blue",0.876017461987264,-0.582605355353601,0.876017461987264,0.582605355353601
"MOGAT2","blue",0.875060291960682,-0.617054325522025,0.875060291960682,0.617054325522025
"SLC35A3","blue",0.874729731624239,-0.591197321011779,0.874729731624239,0.591197321011779
"WDR78","blue",0.874514335089902,-0.708798036483348,0.874514335089902,0.708798036483348
"DSC2","blue",0.874443979484686,-0.606359721797178,0.874443979484686,0.606359721797178
"ATG4D","blue",0.874428827753735,-0.720794634331893,0.874428827753735,0.720794634331893
"KRT20","blue",0.874271438356635,-0.659462965279259,0.874271438356635,0.659462965279259
"GPD1L","blue",0.874217962096591,-0.721850931887247,0.874217962096591,0.721850931887247
"FABP2","blue",0.874110064503459,-0.69215361193651,0.874110064503459,0.69215361193651
"SI","blue",0.873981752002954,-0.689142289605854,0.873981752002954,0.689142289605854
"BTNL3","blue",0.873844023287787,-0.728991467502832,0.873844023287787,0.728991467502832
"KIAA1522","blue",0.872724295026,-0.584438329936425,0.872724295026,0.584438329936425
"PSEN1","blue",0.872549289862687,-0.69193802667374,0.872549289862687,0.69193802667374
"SCARA5","blue",0.872026475348462,-0.818472352098057,0.872026475348462,0.818472352098057
