"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","direction"
"PRDM4",-0.0167325543048875,3.43672965955602,-0.185161416639436,0.853792800374197,0.955323732838231,-6.66189775373836,"PRDM4","NS"
"IHH",-0.0658722415468906,4.77684385972948,-0.185152151949842,0.853800031249376,0.955323732838231,-6.66189947261754,"IHH","NS"
"C4orf29",-0.0208060076037804,1.69771623001132,-0.184724651024643,0.854133699519418,0.955523015470527,-6.66197869349744,"C4orf29","NS"
"OSTC",-0.0217612308926007,6.09708706100199,-0.184604947214278,0.854227134215675,0.955523015470527,-6.66200084322649,"OSTC","NS"
"RYK",0.0178276015592775,3.97285549053619,0.184529778480237,0.854285808174352,0.955523015470527,-6.66201474495365,"RYK","NS"
"SLC40A1",-0.0481990516579538,6.15264814466885,-0.184285445687454,0.854476531117496,0.955523015470527,-6.6620598928687,"SLC40A1","NS"
"RPP14",0.0201283257003602,3.11314312228024,0.184266033375118,0.85449168448645,0.955523015470527,-6.66206347732198,"RPP14","NS"
"KIF18A",-0.0291968121344448,1.23751254494091,-0.184249241086301,0.854504792693629,0.955523015470527,-6.66206657768779,"KIF18A","NS"
"SYK",-0.0320493743004011,4.10537396296031,-0.183996289401695,0.854702253977925,0.955523015470527,-6.66211324609873,"SYK","NS"
"NTN4",0.0350079297499581,2.9780096812553,0.183704110031775,0.854930349151488,0.955523015470527,-6.6621670721372,"NTN4","NS"
"SNAPC3",-0.021872824496576,3.38809620006694,-0.183688294251465,0.854942696385591,0.955523015470527,-6.66216998332368,"SNAPC3","NS"
"TPT1",0.0203292089575928,11.5549487078296,0.183650904890362,0.854971886060802,0.955523015470527,-6.66217686453073,"TPT1","NS"
"PRMT3",0.0276638430209153,2.82231447649146,0.183585292483048,0.855023109811053,0.955523015470527,-6.66218893657764,"PRMT3","NS"
"C17orf100",0.0168817277168725,1.25835226236974,0.18358397093934,0.855024141549577,0.955523015470527,-6.66218917968462,"C17orf100","NS"
"SGK223",-0.0311752293595648,2.46930496918012,-0.18349320518846,0.855095003623023,0.955523015470527,-6.66220587248056,"SGK223","NS"
"SAMD10",0.0268998518204024,2.08425654919268,0.183467178112795,0.855115323541564,0.955523015470527,-6.66221065761812,"SAMD10","NS"
