"gene","HR","z","p","lower","upper"
"LGALS9B",0.856008793052302,-1.08387677972821,0.278419436370359,0.646218295244856,1.13390638917955
"TSPAN1",0.914074284189485,-1.08036479821955,0.279979764977738,0.776596330191629,1.07588944801007
"SMPD3",1.15680260505924,1.07891392242356,0.280626101782824,0.887854836910881,1.50721966186254
"CHST5",0.831972471914177,-1.07764891781806,0.281190462879848,0.595398672394869,1.16254574643044
"PTK2B",0.827582904776491,-1.07329033368529,0.283140870872739,0.585767036069396,1.16922500261205
"TMEM30B",1.2324965995387,1.07241100108433,0.283535468897025,0.841130845708219,1.80595905574647
"ANO10",0.794002795511222,-1.06978754312784,0.28471495064163,0.520337819006884,1.21159834294361
"ANO7",0.86009087154789,-1.06965364776672,0.284775237622776,0.652540735831721,1.13365536693602
"SH3RF1",0.792172310008804,-1.06776043514734,0.285628589314233,0.516528916284062,1.21491159344809
"ADCY6",1.25975166164631,1.06608679698782,0.286384407412679,0.823975920079807,1.92599590636937
"KLF4",0.889530694780431,-1.05999119227618,0.289148606325926,0.716403308900784,1.10449637393584
"TJP3",0.873795216712262,-1.05990351430435,0.289188496703964,0.680871165005463,1.1213840738036
"MUC4",0.918252023628487,-1.05496780996246,0.29144004714546,0.783701952178988,1.0759023587391
"SIDT1",0.838604267726075,-1.0546297291197,0.291594701626246,0.604634073261602,1.1631119530773
"TSPAN3",1.21707652929226,1.04126371505627,0.297753172015861,0.840861711652969,1.76161580153556
"PYY",0.888507214961551,-1.0375940525486,0.29945908797907,0.7106962800337,1.11080512620848
"WSCD1",0.832849960043474,-1.03615270938578,0.300130905098354,0.589267641539818,1.17712055956758
"NXPE2",0.879402125421367,-1.03159251436196,0.302263048593069,0.688885628919873,1.12260739044328
"FAM3D",0.935792027663303,-1.02358736880927,0.306030213790902,0.824125921352255,1.06258849084774
"RNF138",0.836987747344103,-1.01564033609903,0.309800689448143,0.593722962815884,1.17992486913699
"MBOAT1",1.20066476848226,1.0112009555337,0.311920258564996,0.842329932538092,1.71143851190325
"TP53I3",0.838762243953694,-1.00786085560326,0.313521265967121,0.595855748102642,1.1806919780877
"ZNF91",0.81241911327982,-0.995463177649467,0.319511044652793,0.539692706155365,1.2229641203125
"ST6GALNAC1",0.935029718099545,-0.994033161465914,0.320206723221023,0.819032317190768,1.0674555269419
"CASP7",0.835915981479926,-0.992086396241405,0.321155382021286,0.586661064683493,1.19107193259967
"PADI2",0.927815386658588,-0.984402724774497,0.324917538869125,0.799239532389872,1.07707559102632
"SYTL2",0.87220962665509,-0.980025194454087,0.32707368234816,0.663541151813771,1.1464995513094
"GFI1",0.841475902718964,-0.974674934085922,0.329721530379743,0.594714821363717,1.19062392498142
"VSIG10",1.26575756211243,0.969584957267623,0.332253414022558,0.786057693622347,2.03819925565736
"SAMD13",0.855746013819626,-0.968875565724633,0.332607278007898,0.624429718837832,1.172752061723
"HAPLN1",0.717003002749541,-0.96883397756426,0.332628030874433,0.365795189474308,1.40541297629057
"CLCN2",1.17855315755365,0.965744631258244,0.334171980522367,0.844397838435067,1.64494445859063
"HHLA2",0.924217065642503,-0.95828692672895,0.33791809423065,0.786633134488351,1.08586474046815
"PLCD1",0.844832259046336,-0.956097612208461,0.339022921052906,0.59793332203022,1.19368083300978
"ANK3",0.720615497254034,-0.951308068953909,0.341448012077874,0.366887332891005,1.4153846380871
"ZBTB7B",1.20636662980916,0.950380311266792,0.341919044483146,0.819303821164009,1.77628909804117
"LPAR5",0.848057891066125,-0.944516868898489,0.344905585751236,0.602422908811975,1.19384933089256
"BTNL3",0.92223561222629,-0.933547182276482,0.350537521379364,0.778086936031452,1.09308932597735
"CWH43",0.889972625017557,-0.929898892045905,0.352423436716608,0.696108495098273,1.1378273341842
"FAM83E",1.12377025442456,0.927442030742714,0.353697076588556,0.878174177671557,1.43805137618356
"KRCC1",0.890267587489863,-0.922497953062736,0.356268897539656,0.695457490756035,1.13964748078766
"CA1",0.922977986681791,-0.919877775930712,0.357636633769716,0.778081839929979,1.09485701912261
"LTK",1.10295483728884,0.914628667728643,0.360386603555539,0.894047270463467,1.36067679337383
"DPF3",1.3776306302417,0.909777402816019,0.362939914104383,0.690866845991223,2.74707950510662
"ARL14",0.905744619527657,-0.90471055800952,0.365618746257696,0.73090863629619,1.12240200083073
"PLCD3",0.891550747882184,-0.901303100996603,0.367427185470805,0.69459915114856,1.14434740488083
"RIOK3",1.16374900473198,0.896857723844857,0.369794841407478,0.835473116982016,1.62101175787303
"REP15",0.849978281766802,-0.89431978180166,0.371150818804556,0.595251060536591,1.21371153681604
"BEST4",0.827137653990234,-0.892082486747778,0.372348721223402,0.545118311706114,1.25506093623454
"TNK1",1.21891852278044,0.891156232643362,0.372845360870291,0.78865364963294,1.8839225125868
"EAPP",0.830732045744293,-0.889050186154508,0.37397610872848,0.55196033682304,1.25029949760276
"MXD1",0.884359006032858,-0.881863127592847,0.377850828811941,0.672991020696877,1.1621118670225
"MYO1D",0.864371343640025,-0.875893216717431,0.381088087498302,0.623815793582052,1.1976898106665
"TMEM61",0.841316111373457,-0.875110375422168,0.381513852234529,0.571336692267066,1.23887159504486
"TRIM36",0.844274609996547,-0.859498860826881,0.390065348229804,0.573905527388336,1.24201559850547
"IGSF3",0.834924064585265,-0.859214570888565,0.39022214590651,0.55324184866818,1.26002433709906
"LGALS3",0.898717097189779,-0.858386058859412,0.39067932308067,0.704254788840703,1.14687529794549
"CYSTM1",0.87922482739815,-0.85378910142322,0.393221854222736,0.654297706277002,1.18147486946261
"USP2",0.816468538934726,-0.853026501104775,0.393644608146029,0.51239673480949,1.30098579827613
"MEP1A",0.951354307335569,-0.851696044760535,0.394382816447228,0.848208304376997,1.06704333524618
"AMPD1",0.585283270397628,-0.850930056728449,0.394808207228223,0.170426013000069,2.01000129368281
"CAPN5",0.887756438923551,-0.849594372365278,0.395550641824585,0.674544733746024,1.16836060741816
"NAAA",0.86938673715218,-0.844414505264333,0.39843781958503,0.628233077543839,1.20310968293988
"GLOD5",0.874263052925136,-0.843801954412004,0.398780083203441,0.639867100429824,1.19452287075948
"TUBAL3",0.919384176003771,-0.842255729353978,0.399644825550048,0.756054474920052,1.11799783101015
"CA7",0.863677408373753,-0.841120367964569,0.400280505701341,0.613817231709895,1.21524556040445
"NBEAL1",0.777608687719959,-0.83691030171411,0.402642989320531,0.43145354754545,1.40148406394517
"MINK1",1.17901932343715,0.832844159319912,0.404932626066837,0.800217421191002,1.73713609354974
"TMEM171",1.08571493154646,0.828961829119858,0.407126006872621,0.893862639342849,1.3187450293812
"C1orf210",0.871133520810041,-0.820813258573369,0.411752645250269,0.626638579356534,1.21102280657241
"FRMD1",1.10118619305541,0.818185423632834,0.413251317064169,0.874144585591148,1.38719732612178
"ACVRL1",0.908989415225249,-0.81670166617382,0.414098938923225,0.722946398387001,1.14290873961756
"TLR3",0.853931762436909,-0.804849187398443,0.420906713440395,0.581333393537518,1.25435673058672
"LRRC26",0.946380692115847,-0.804564734967469,0.421070899129322,0.827486688769507,1.08235748872469
