"ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","gene","direction"
"FAM78A",-0.200075679281936,1.44053231838128,-1.37752251914209,0.174006251686523,0.248219444329595,-5.90644923353276,"FAM78A","NS"
"PTPRD",-0.380461912735774,2.01140203997074,-1.37701819140359,0.174161249649058,0.248380143430857,-5.90712488655283,"PTPRD","NS"
"C20orf194",-0.24359023523002,1.1728129249021,-1.37693059978617,0.17418818048639,0.248380143430857,-5.90724221044295,"C20orf194","NS"
"IHH",-0.489875365809818,4.77684385972948,-1.376930191488,0.174188306028851,0.248380143430857,-5.90724275731839,"IHH","NS"
"FAM50B",-0.317799597363002,1.73583539644364,-1.37691408391043,0.174193258800371,0.248380143430857,-5.90726433172121,"FAM50B","NS"
"PORCN",0.179430678443281,1.85674802104736,1.37619151468004,0.174415546199655,0.248664234574677,-5.90823189518683,"PORCN","NS"
"PPP2R2D",-0.0980852885815753,3.21144032164846,-1.37614547684813,0.174429716409852,0.248664234574677,-5.90829352656429,"PPP2R2D","NS"
"TIE1",0.286153030622402,2.17472837383056,1.37540189950254,0.174658708121419,0.248964119684063,-5.90928869604092,"TIE1","NS"
"CCBP2",-0.176541281432117,0.835442203997497,-1.37524795723646,0.174706144912931,0.249005174221502,-5.90949466261582,"CCBP2","NS"
"WDR13",-0.149075213501222,4.93753498034916,-1.37515224798469,0.174735642379908,0.249020654168124,-5.9096227056804,"WDR13","NS"
"ZNF189",0.105772374515367,2.44968680570338,1.37465585001269,0.174888692895516,0.249212190942721,-5.91028667039673,"ZNF189","NS"
"CDX2",-0.584377911290202,6.12740871394155,-1.37438677981442,0.174971696179824,0.249303881888974,-5.91064647599967,"CDX2","NS"
"CDC73",0.140464865299796,3.31670436509599,1.3740982193897,0.17506074542314,0.249404166792196,-5.91103227134527,"CDC73","NS"
"ZMAT3",0.148554499923174,2.02520549933483,1.37396841122504,0.175100815330252,0.249434658256165,-5.91120579576874,"ZMAT3","NS"
"LOC100505696",-0.190997607677883,1.90392026106691,-1.3739076398571,0.175119576991912,0.249434792427879,-5.91128702821687,"LOC100505696","NS"
"ARHGEF2",-0.129215869076138,3.96631856087096,-1.37366809601159,0.175193545265562,0.249496047545187,-5.91160719134021,"ARHGEF2","NS"
"RALGDS",0.144776435322077,3.83136733472114,1.37364743514149,0.17519992621737,0.249496047545187,-5.91163480325748,"RALGDS","NS"
"SEMA6B",0.276098269966278,1.9350819874962,1.37306057053391,0.175381249309911,0.249727648473896,-5.91241894821675,"SEMA6B","NS"
"STK39",-0.225924308303825,4.29686593632746,-1.37292666336225,0.175422642658488,0.249759973489901,-5.91259782584905,"STK39","NS"
"ARHGAP1",-0.142491779521392,4.5086122989687,-1.37264281508629,0.175510410529462,0.249858310834719,-5.91297694600371,"ARHGAP1","NS"
"PLEKHF2",-0.147406647626579,3.52320029538218,-1.37058565690562,0.176147504707542,0.250712787353749,-5.91572239238467,"PLEKHF2","NS"
"RBM38",-0.275265568028135,4.23964764652801,-1.37058355990924,0.176148155042433,0.250712787353749,-5.91572518903989,"RBM38","NS"
"KIAA0146",0.131985825854408,3.59251196772795,1.37046574320426,0.176184696122168,0.250738088144041,-5.91588230865445,"KIAA0146","NS"
"MFSD8",-0.140968722057969,2.0844646262775,-1.36998975635731,0.176332383505434,0.250921545090481,-5.91651695350177,"MFSD8","NS"
"ABCB9",-0.12963500133318,1.01975687758028,-1.36915045830086,0.176593028756698,0.251265685256841,-5.91763550924436,"ABCB9","NS"
"ADRB2",-0.241791268151772,1.10531014148631,-1.36886536787227,0.176681631126537,0.25136498670281,-5.91801531171906,"ADRB2","NS"
"MTMR14",-0.120967370183497,3.9568854417181,-1.36821974712062,0.176882407457848,0.251623839928858,-5.91887514638684,"MTMR14","NS"
"H1FX",-0.147709715543383,5.4201627689266,-1.36792385971935,0.176974481434207,0.251704405193413,-5.9192690814253,"H1FX","NS"
